Name                                             Project                        Compat   Latest   Kind         Platform
termwiz->pest_derive                             2.9.0                          2.9.1    2.9.1    Normal       ---
thiserror->thiserror-impl                        2.0.20                         ---      Removed  Normal       ---
thiserror-impl->proc-macro2                      1.0.107                        ---      Removed  Normal       ---
thiserror-impl->quote                            1.0.47                         ---      Removed  Normal       ---
thiserror-impl->syn                              3.0.4                          3.0.5    3.0.5    Normal       ---
thiserror-impl->syn                              3.0.4                          3.0.5    Removed  Normal       ---
tinyvec->tinyvec_macros                          0.1.1                          ---      Removed  Normal       ---
tokio->mio                                       1.2.2                          1.2.3    1.2.3    Normal       ---
tokio-macros->syn                                3.0.4                          3.0.5    3.0.5    Normal       ---
uuid->js-sys                                     0.3.104                        0.3.105  0.3.105  Normal       cfg(all(target_arch = "wasm32", any(target_os = "unknown", target_os = "none"), target_feature = "atomics"))
uuid->wasm-bindgen                               0.2.127                        0.2.128  0.2.128  Normal       cfg(all(target_arch = "wasm32", any(target_os = "unknown", target_os = "none")))
wasm-bindgen->cfg-if                             1.0.4                          ---      Removed  Normal       ---
wasm-bindgen->cfg-if                             1.0.4                          Removed  Removed  Normal       ---
wasm-bindgen->once_cell                          1.21.4                         ---      Removed  Normal       ---
wasm-bindgen->once_cell                          1.21.4                         Removed  Removed  Normal       ---
wasm-bindgen->rustversion                        1.0.23                         ---      Removed  Build        ---
wasm-bindgen->rustversion                        1.0.23                         Removed  Removed  Build        ---
wasm-bindgen->wasm-bindgen-macro                 0.2.127                        0.2.128  0.2.128  Normal       ---
wasm-bindgen->wasm-bindgen-macro                 0.2.127                        0.2.128  Removed  Normal       ---
wasm-bindgen->wasm-bindgen-macro                 0.2.127                        Removed  Removed  Normal       ---
wasm-bindgen->wasm-bindgen-shared                0.2.127                        0.2.128  0.2.128  Normal       ---
wasm-bindgen->wasm-bindgen-shared                0.2.127                        0.2.128  Removed  Normal       ---
wasm-bindgen->wasm-bindgen-shared                0.2.127                        Removed  Removed  Normal       ---
wasm-bindgen-futures->js-sys                     0.3.104                        0.3.105  0.3.105  Normal       ---
wasm-bindgen-futures->wasm-bindgen               0.2.127                        0.2.128  0.2.128  Normal       ---
wasm-bindgen-macro->quote                        1.0.47                         ---      Removed  Normal       ---
wasm-bindgen-macro->quote                        1.0.47                         Removed  Removed  Normal       ---
wasm-bindgen-macro->wasm-bindgen-macro-support   0.2.127                        0.2.128  0.2.128  Normal       ---
wasm-bindgen-macro->wasm-bindgen-macro-support   0.2.127                        0.2.128  Removed  Normal       ---
wasm-bindgen-macro->wasm-bindgen-macro-support   0.2.127                        Removed  Removed  Normal       ---
wasm-bindgen-macro-support->bumpalo              3.20.3                         ---      Removed  Normal       ---
wasm-bindgen-macro-support->bumpalo              3.20.3                         Removed  Removed  Normal       ---
wasm-bindgen-macro-support->proc-macro2          1.0.107                        ---      Removed  Normal       ---
wasm-bindgen-macro-support->proc-macro2          1.0.107                        Removed  Removed  Normal       ---
wasm-bindgen-macro-support->quote                1.0.47                         ---      Removed  Normal       ---
wasm-bindgen-macro-support->quote                1.0.47                         Removed  Removed  Normal       ---
wasm-bindgen-macro-support->syn                  2.0.119                        3.0.5    3.0.5    Normal       ---
wasm-bindgen-macro-support->syn                  2.0.119                        3.0.5    Removed  Normal       ---
wasm-bindgen-macro-support->syn                  2.0.119                        Removed  Removed  Normal       ---
wasm-bindgen-macro-support->wasm-bindgen-shared  0.2.127                        0.2.128  0.2.128  Normal       ---
wasm-bindgen-macro-support->wasm-bindgen-shared  0.2.127                        0.2.128  Removed  Normal       ---
wasm-bindgen-macro-support->wasm-bindgen-shared  0.2.127                        Removed  Removed  Normal       ---
wasm-bindgen-shared->unicode-ident               1.0.24                         ---      Removed  Normal       ---
